pred,score,idx,gamePK,label_iforest,match
1,0.07248007219982805,147,,1,1
1,0.06297699384493677,148,,1,1
1,0.06150594137297849,149,,-1,0
1,0.05324226237539803,150,,1,1
1,0.06867123427438532,151,,1,1
1,0.0633408600952235,152,,1,1
1,0.07726099464485287,153,,1,1
1,0.07591125421420925,154,,1,1
1,0.07529085282851378,155,,1,1
1,0.0774624798883482,156,,-1,0
1,0.09323150686529391,157,,1,1
